financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,scaffold_lr,scaffold_level,seed,default_scenario,capital_per_financier,borrower_count
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,6148669.322884691,5000000.0,6148669.322884551,1148669.3228845512,0.0,0.0,6.0,0.0,1790,1790,55,0.0307262569832402,62471795.76474793,98792.35479417404,0.0015813913076262,0.0197584709588348,0,2291,0.25,0p25,831197,low_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5093206.616033936,5000000.0,5093206.616033663,93206.61603366304,0.0,0.0,9.0,0.0,433,433,156,0.3602771362586605,15183623.869415006,381573.910722755,0.0251306219124259,0.076314782144551,0,2248,0.25,0p25,709098,medium_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5437235.909926743,5000000.0,5437235.9099266175,437235.9099266175,0.0,0.0,10.0,0.0,1148,1148,239,0.2081881533101045,40260339.292094044,532049.9845615565,0.0132152384683463,0.1064099969123113,0,2248,0.25,0p25,709098,medium_default,5000000.0,50
Fin_rl_3,pure_rl,rl,6006894.33412823,5000000.0,6006894.334128296,1006894.334128296,0.0,0.0,17.0,0.0,1151,1151,77,0.0668983492615117,40293343.03207413,193605.29911097925,0.0048048954130429,0.0387210598221958,0,2248,0.25,0p25,709098,medium_default,5000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5665427.923441659,5000000.0,5665427.923443718,665427.9234437179,0.0,0.0,9.0,0.0,1294,1294,164,0.1267387944358578,45290617.48102423,346235.98558778974,0.0076447618700022,0.0692471971175579,0,2248,0.25,0p25,709098,medium_default,5000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5316388.140085118,5000000.0,5316388.140083472,316388.14008347224,0.0,0.0,8.0,0.0,703,703,198,0.2816500711237553,24539028.87304119,396686.3439835832,0.0161655274149575,0.0793372687967166,0,2248,0.25,0p25,709098,medium_default,5000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5715804.199920677,5000000.0,5715804.199921731,715804.1999217309,0.0,0.0,6.0,0.0,1275,1275,118,0.0925490196078431,45032692.94827122,231079.71367281163,0.0051313767519577,0.0462159427345623,0,2248,0.25,0p25,709098,medium_default,5000000.0,50
Fin_rl_1,pure_rl,rl,5290804.358406228,5000000.0,5290804.358406112,290804.3584061116,0.0,0.0,12.0,0.0,798,798,112,0.1403508771929824,28277775.959482204,306508.0268316738,0.0108391843570319,0.0613016053663347,0,2245,0.25,0p25,436570,medium_default,5000000.0,50
Fin_rl_2,pure_rl,rl,5211153.029054726,5000000.0,5211153.029055411,211153.029055411,0.0,0.0,8.0,0.0,909,909,249,0.2739273927392739,32109235.63643492,466918.78585644,0.0145415727469581,0.093383757171288,0,2245,0.25,0p25,436570,medium_default,5000000.0,50
Fin_rl_3,pure_rl,rl,5536142.914019083,5000000.0,5536142.9140185565,536142.9140185565,0.0,0.0,7.0,0.0,1282,1282,208,0.1622464898595944,44757129.32320405,483677.86335527326,0.0108067222064779,0.0967355726710546,0,2245,0.25,0p25,436570,medium_default,5000000.0,50
