financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,non_iid_level,non_iid_tag,seed,default_scenario,capital_per_financier
Fin_fl_rl_2,pure_rl,fl_rl,1916438.0519274974,1000000.0,1916438.051927418,916438.051927418,0.0,0.0,6.0,0.0,724,724,0,0.0,25503969.786796726,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,1916186.9498412453,1000000.0,1916186.9498411454,916186.9498411454,0.0,0.0,6.0,0.0,657,657,0,0.0,24155087.3871543,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,1754584.33949953,1000000.0,1754584.339499522,754584.339499522,0.0,0.0,6.0,0.0,692,692,0,0.0,23504169.584023416,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,1772014.558706249,1000000.0,1772014.5587062244,772014.5587062244,0.0,0.0,6.0,0.0,702,702,0,0.0,23988431.534554053,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,1950473.0347275755,1000000.0,1950473.0347276344,950473.0347276344,0.0,0.0,6.0,0.0,631,631,0,0.0,23348782.26684914,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,1814868.2347216548,1000000.0,1814868.234721589,814868.2347215889,0.0,0.0,6.0,0.0,616,616,0,0.0,22427446.780026652,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,1571636.0711175615,1000000.0,1571636.071117589,571636.071117589,0.0,0.0,6.0,0.0,759,759,0,0.0,23180867.518751334,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,1599455.4231989593,1000000.0,1599455.4231989402,599455.4231989402,0.0,0.0,6.0,0.0,634,634,0,0.0,21389635.659309894,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,1922974.5063491196,1000000.0,1922974.5063490772,922974.5063490772,0.0,0.0,6.0,0.0,618,618,0,0.0,22933317.346631046,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,1650905.5207625567,1000000.0,1650905.5207625087,650905.5207625087,0.0,0.0,6.0,0.0,759,759,0,0.0,23508897.79150895,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,2002125.6937431549,1000000.0,2002125.6937431516,1002125.6937431516,0.0,0.0,6.0,0.0,638,638,0,0.0,24005725.47671691,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,2093366.991051366,1000000.0,2093366.9910513991,1093366.9910513991,0.0,0.0,6.0,0.0,639,639,0,0.0,24598949.638257023,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,1628639.6694955262,1000000.0,1628639.6694955034,628639.6694955034,0.0,0.0,6.0,0.0,775,775,0,0.0,23860203.576527003,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,1811110.6989174874,1000000.0,1811110.698917578,811110.698917578,0.0,0.0,6.0,0.0,623,623,0,0.0,22573137.172817454,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,1617913.6351741569,1000000.0,1617913.635174131,617913.635174131,0.0,0.0,6.0,0.0,798,798,0,0.0,24042379.371704523,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,1725252.2222285755,1000000.0,1725252.222228564,725252.2222285641,0.0,0.0,6.0,0.0,693,693,0,0.0,23373536.816834543,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,1926352.5299556744,1000000.0,1926352.5299556963,926352.5299556963,0.0,0.0,6.0,0.0,651,651,0,0.0,23895154.005093236,0.0,0.0,0.0,0,2246,0.0,0p00,831197,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,1659004.8647247902,1000000.0,1659004.8647247904,659004.8647247904,0.0,0.0,6.0,0.0,659,659,63,0.09559939301972686,23111501.575801253,115171.27668119888,0.004983288355516814,0.11517127668119888,0,2245,0.0,0p00,709098,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,1646095.5568124074,1000000.0,1646095.5568124591,646095.5568124591,0.0,0.0,6.0,0.0,635,635,61,0.09606299212598425,22349422.382369902,83280.92170216289,0.0037263120396282875,0.08328092170216289,0,2245,0.0,0p00,709098,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,1499040.8250632545,1000000.0,1499040.8250632493,499040.82506324933,0.0,0.0,6.0,0.0,692,692,65,0.09393063583815028,21848743.478688024,80298.83472600594,0.003675215227105945,0.08029883472600594,0,2245,0.0,0p00,709098,low_default,1000000.0
