seed,default_scenario,base_capital_per_financier,capital_per_financier,capital_multiplier,wholesaler_count,wholesaler_policy,label,shock_profile_counts,financiers,total_initial_capital,total_final_capital,mean_final_capital,return_pct,total_loans,loans_per_wholesaler,total_defaults,default_count_rate,default_amount_to_initial_capital_rate,default_amount_to_issued_rate,avg_capital_utilization,max_capital_utilization,avg_final_utilization,max_final_utilization
831197,high_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,3000000.0,12474526.072718,4158175.357572667,315.8175357572667,5921,118.42,260,0.043911501435568316,0.24564870600640004,0.003702471658806292,0.8288294213462439,0.9999963504575957,0.0,0.0
831197,none_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,15000000.0,31839775.22334332,10613258.407781107,112.26516815562213,13264,265.28,0,0.0,0.0,0.0,0.5489521551968995,0.9999880814994301,0.0,0.0
831197,none_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,15000000.0,32780544.042161845,10926848.014053948,118.53696028107896,13291,265.82,0,0.0,0.0,0.0,0.5640357563930125,0.9999890791961528,0.0,0.0
831197,low_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,15000000.0,32880403.832286775,10960134.610762259,119.20269221524516,10845,216.9,402,0.03706777316735823,0.055393301520582146,0.002178250461878433,0.467596115125192,0.9998460090440832,0.0,0.0
831197,low_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,15000000.0,33628985.62231757,11209661.874105856,124.19323748211711,11703,234.06,298,0.02546355635307186,0.04098600113483354,0.001500158218099392,0.5018842775749603,0.9998460090440832,0.0,0.0
831197,medium_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,15000000.0,29110482.988362715,9703494.329454238,94.06988658908477,10127,202.54,505,0.049866692998913796,0.08323880095940936,0.0035258342142706774,0.46831385374242857,0.9999755381598309,0.0,0.0
831197,medium_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,15000000.0,29164810.10758604,9721603.369195348,94.43206738390694,10248,204.96,399,0.0389344262295082,0.06509746981436004,0.0027264424108491107,0.46117382701629417,0.9999755381598309,0.0,0.0
831197,high_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,15000000.0,26960484.65760319,8986828.219201064,79.73656438402124,7764,155.28,637,0.08204533745492014,0.11816878656932414,0.006524044852812601,0.3903636124609064,0.9996532160109255,0.0,0.0
831197,high_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,15000000.0,28381187.921087712,9460395.973695904,89.20791947391808,8659,173.18,534,0.061669938792008314,0.10464339808730597,0.005168451267087388,0.4156293690706684,0.9999670668932659,0.0,0.0
831197,none_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,30000000.0,43776352.73300859,14592117.577669531,45.92117577669531,13297,265.94,0,0.0,0.0,0.0,0.40738130445242815,0.999973441909637,0.0,0.0
831197,none_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,30000000.0,44472599.19371393,14824199.731237978,48.24199731237976,13312,266.24,0,0.0,0.0,0.0,0.40378127537566794,0.9997397021852632,0.0,0.0
831197,low_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,30000000.0,49997273.81145722,16665757.937152406,66.65757937152405,11413,228.26,393,0.03443441689301673,0.02617622420171519,0.0019652877259175076,0.2989655661134973,0.7848995992534854,0.0,0.0
831197,low_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,30000000.0,46627746.097629525,15542582.032543175,55.42582032543175,8729,174.58,260,0.02978577156604422,0.017405541986237,0.0017160158858428149,0.23115328286168876,0.6396423882204069,0.0,0.0
831197,medium_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,30000000.0,44593246.02191533,14864415.340638444,48.64415340638445,10235,204.7,632,0.061748900830483636,0.04753978559208055,0.003989385446106294,0.2789336277770189,0.7413221907325656,0.0,0.0
831197,medium_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,30000000.0,44647996.07301414,14882665.35767138,48.82665357671381,9335,186.7,358,0.03835029459025174,0.031379549323191355,0.00288938408671156,0.25419321622132424,0.8439284000213921,0.0,0.0
831197,high_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,30000000.0,43933586.96834114,14644528.989447048,46.44528989447046,9050,181.0,705,0.07790055248618785,0.0665671704741805,0.006313009563960355,0.25693500231296384,0.5961766010389952,0.0,0.0
831197,high_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,30000000.0,44647517.608373135,14882505.869457712,48.82505869457712,8625,172.5,561,0.06504347826086956,0.0539651724552829,0.005351158871024645,0.2334244015068577,0.5791460313862413,0.0,0.0
709098,none_default,1000000.0,2000000.0,2.0,100,rl,Isolated RL (non-federated),{'none': 100},3,6000000.0,38965196.03967877,12988398.679892922,549.419933994646,17832,178.32,0,0.0,0.0,0.0,0.8880825962896026,0.9999992471026045,0.0,0.0
709098,none_default,1000000.0,2000000.0,2.0,100,fl_rl,FedAvg (federated),{'none': 100},3,6000000.0,34374369.36557549,11458123.121858498,472.9061560929249,15930,159.3,0,0.0,0.0,0.0,0.8771833283905954,0.9999997601692407,0.0,0.0
709098,low_default,1000000.0,2000000.0,2.0,100,rl,Isolated RL (non-federated),"{'none': 87, 'medium': 10, 'high': 3}",3,6000000.0,36876995.98766573,12292331.995888576,514.6165997944288,15800,158.0,292,0.01848101265822785,0.10622282000611737,0.0011775404833764653,0.8410228500708418,0.9999995089115954,0.0,0.0
709098,low_default,1000000.0,2000000.0,2.0,100,fl_rl,FedAvg (federated),"{'none': 87, 'medium': 10, 'high': 3}",3,6000000.0,33937714.495150656,11312571.498383552,465.6285749191776,15656,156.56,183,0.011688809402146142,0.06207875323623677,0.0006992535766052036,0.8801099753460198,0.9999989618230078,0.0,0.0
709098,medium_default,1000000.0,2000000.0,2.0,100,rl,Isolated RL (non-federated),"{'none': 77, 'medium': 18, 'high': 5}",3,6000000.0,31773364.598672785,10591121.532890929,429.5560766445464,13667,136.67,453,0.03314553303577961,0.17617879832863872,0.002269471276560881,0.8170421129341205,0.9999983589027681,0.0,0.0
709098,medium_default,1000000.0,2000000.0,2.0,100,fl_rl,FedAvg (federated),"{'none': 77, 'medium': 18, 'high': 5}",3,6000000.0,31699263.164311517,10566421.054770505,428.32105273852534,13610,136.1,394,0.028949301983835416,0.15208172818987337,0.001970246145404578,0.8359280569627487,0.9999994423112194,0.0,0.0
709098,high_default,1000000.0,2000000.0,2.0,100,rl,Isolated RL (non-federated),"{'none': 64, 'medium': 26, 'high': 10}",3,6000000.0,28249407.612916283,9416469.204305427,370.8234602152714,12280,122.8,661,0.05382736156351792,0.32749350513415215,0.004673625055318881,0.8195193838483185,0.9999987662457401,0.0,0.0
709098,high_default,1000000.0,2000000.0,2.0,100,fl_rl,FedAvg (federated),"{'none': 64, 'medium': 26, 'high': 10}",3,6000000.0,29169108.57829143,9723036.192763811,386.1518096381905,12806,128.06,544,0.04248008745900359,0.26457274154288146,0.0036089465827865456,0.8146262528923666,0.9999991737860502,0.0,0.0
709098,none_default,5000000.0,10000000.0,2.0,100,rl,Isolated RL (non-federated),{'none': 100},3,30000000.0,65174170.3001557,21724723.433385234,117.24723433385232,26537,265.37,0,0.0,0.0,0.0,0.5801062770042977,0.9999989256559083,0.0,0.0
709098,none_default,5000000.0,10000000.0,2.0,100,fl_rl,FedAvg (federated),{'none': 100},3,30000000.0,65526875.93754193,21842291.979180645,118.42291979180645,26543,265.43,0,0.0,0.0,0.0,0.5677135904937087,0.999994155175191,0.0,0.0
